




                              Registered Voters             Ballots Cast                  Voter Turnout                 
Branchburg D 5                678                           68                            68                            68                            
Branchburg D 6                890                           84                            84                            84                            
Branchburg D 7                903                           43                            43                            43                            
Branchburg D 8                852                           44                            44                            44                            
Branchburg D 9                758                           57                            57                            57                            
Branchburg D 10               617                           47                            47                            47                            
Branchburg D 11               833                           67                            67                            67                            
Branchburg D 12               684                           74                            74                            74                            
Branchburg D 13               765                           41                            41                            41                            
Branchburg D 14               494                           27                            27                            27                            
Branchburg Mail-In Ballot     0                             31                            31                            31                            
Branchburg Provo              0                             0                             0                             0                             
Bridgewater D 1               899                           86                            86                            86                            
Bridgewater D 2               1155                          94                            94                            94                            
Bridgewater D 3               893                           81                            81                            81                            
Bridgewater D 4               880                           70                            70                            70                            
Bridgewater D 5               901                           112                           112                           112                           
Bridgewater D 6               754                           70                            70                            70                            
Bridgewater D 7               700                           56                            56                            56                            
Bridgewater D 8               746                           70                            70                            70                            
Bridgewater D 9               691                           53                            53                            53                            
Bridgewater D 10              1044                          85                            85                            85                            
Bridgewater D 11              696                           65                            65                            65                            
Bridgewater D 12              887                           70                            70                            70                            
Bridgewater D 13              673                           73                            73                            73                            
Bridgewater D 14              779                           85                            85                            85                            
Bridgewater D 15              814                           73                            73                            73                            
Bridgewater D 16              764                           70                            70                            70                            
Bridgewater D 17              578                           49                            49                            49                            
Bridgewater D 18              751                           71                            71                            71                            
Bridgewater D 19              789                           83                            83                            83                            
Bridgewater D 20              958                           98                            98                            98                            
Bridgewater D 21              518                           39                            39                            39                            
Bridgewater D 22              888                           97                            97                            97                            
Bridgewater D 23              881                           65                            65                            65                            
Bridgewater D 24              889                           76                            76                            76                            
Bridgewater D 25              837                           67                            67                            67                            
Bridgewater D 26              780                           81                            81                            81                            
Bridgewater D 27              535                           66                            66                            66                            
Bridgewater D 28              725                           85                            85                            85                            
Bridgewater D 29              721                           64                            64                            64                            
Bridgewater D 30              769                           75                            75                            75                            
Bridgewater D 31              953                           91                            91                            91                            
Bridgewater D 32              929                           89                            89                            89                            
Bridgewater D 33              904                           86                            86                            86                            
Bridgewater D 34              900                           79                            79                            79                            
Bridgewater D 35              1011                          100                           100                           100                           
Bridgewater D 36              997                           97                            97                            97                            
Bridgewater Mail-In Ballot    0                             122                           122                           122                           
Bridgewater Provo             0                             12                            12                            12                            
Far Hills D 1                 751                           50                            50                            50                            
Far Hills Mail-In Ballot      0                             4                             4                             4                             
Far Hills Provo               0                             0                             0                             0                             
Green Brook D 1               897                           86                            86                            86                            
Green Brook D 2               632                           53                            53                            53                            
Green Brook D 3               930                           60                            60                            60                            
Green Brook D 4               817                           64                            64                            64                            
Green Brook D 5               755                           54                            54                            54                            
Green Brook D 6               646                           51                            51                            51                            
Green Brook Mail-In Ballot    0                             15                            15                            15                            
Green Brook Provo             0                             1                             1                             1                             
Hillsborough D 1              615                           56                            56                            56                            
Hillsborough D 2              591                           62                            62                            62                            
Hillsborough D 3              1118                          123                           123                           123                           
Hillsborough D 4              821                           74                            74                            74                            
Hillsborough D 5              897                           59                            59                            59                            
Hillsborough D 6              601                           32                            32                            32                            
Hillsborough D 7              1319                          119                           119                           119                           
Hillsborough D 8              584                           69                            69                            69                            
Hillsborough D 9              1096                          95                            95                            95                            
Hillsborough D 10             827                           70                            70                            70                            
Hillsborough D 11             550                           45                            45                            45                            
Hillsborough D 12             647                           82                            82                            82                            
Hillsborough D 13             919                           107                           107                           107                           
Hillsborough D 14             909                           121                           121                           121                           
Hillsborough D 15             803                           97                            97                            97                            
Hillsborough D 16             803                           98                            98                            98                            
Hillsborough D 17             885                           92                            92                            92                            
Hillsborough D 18             707                           59                            59                            59                            
Hillsborough D 19             801                           71                            71                            71                            
Hillsborough D 20             649                           67                            67                            67                            
Hillsborough D 21             887                           117                           117                           117                           
Hillsborough D 22             768                           88                            88                            88                            
Hillsborough D 23             708                           61                            61                            61                            
Hillsborough D 24             763                           82                            82                            82                            
Hillsborough D 25             841                           76                            76                            76                            
Hillsborough D 26             821                           82                            82                            82                            
Hillsborough D 27             1081                          94                            94                            94                            
Hillsborough D 28             983                           87                            87                            87                            
Hillsborough D 29             758                           79                            79                            79                            
Hillsborough D 30             773                           67                            67                            67                            
Hillsborough D 31             872                           83                            83                            83                            
Hillsborough D 32             657                           78                            78                            78                            
Hillsborough D 33             859                           121                           121                           121                           
Hillsborough Mail-In Ballot   0                             133                           133                           133                           
Hillsborough Provo            0                             13                            13                            13                            
Millstone D 1                 340                           43                            43                            43                            
Millstone Mail-In Ballot      0                             3                             3                             3                             
Millstone Provo               0                             0                             0                             0                             
Montgomery D 1                739                           93                            93                            93                            
Montgomery D 2                890                           100                           100                           100                           
Montgomery D 3                680                           95                            95                            95                            
Montgomery D 4                645                           91                            91                            91                            
Montgomery D 5                902                           79                            79                            79                            
Montgomery D 6                700                           63                            63                            63                            
Montgomery D 7                896                           91                            91                            91                            
Montgomery D 8                898                           90                            90                            90                            
Montgomery D 9                801                           80                            80                            80                            
Montgomery D 10               733                           90                            90                            90                            
Montgomery D 11               1032                          100                           100                           100                           
Montgomery D 12               853                           91                            91                            91                            
Montgomery D 13               912                           127                           127                           127                           
Montgomery D 14               530                           56                            56                            56                            
Montgomery D 15               920                           85                            85                            85                            
Montgomery D 16               770                           71                            71                            71                            
Montgomery D 17               932                           121                           121                           121                           
Montgomery D 18               875                           177                           177                           177                           
Montgomery D 19               756                           104                           104                           104                           
Montgomery Mail-In Ballot     0                             77                            77                            77                            
Montgomery Provo              0                             6                             6                             6                             
North Plainfield D 1          1008                          153                           153                           153                           
North Plainfield D 2          848                           159                           159                           159                           
North Plainfield D 3          802                           90                            90                            90                            
North Plainfield D 4          814                           140                           140                           140                           
North Plainfield D 5          787                           135                           135                           135                           
North Plainfield D 6          1025                          159                           159                           159                           
North Plainfield D 7          896                           137                           137                           137                           
North Plainfield D 8          912                           112                           112                           112                           
North Plainfield D 9          881                           156                           156                           156                           
North Plainfield D 10         756                           110                           110                           110                           
North Plainfield D 11         874                           156                           156                           156                           
North Plainfield D 12         565                           123                           123                           123                           
North Plainfield Mail-In Ballot0                             28                            28                            28                            
North Plainfield Provo        0                             7                             7                             7                             
Peapack Gladstone D 1         979                           66                            66                            66                            
Peapack Gladstone D 2         904                           53                            53                            53                            
Peapack Gladstone Mail-In Ballot0                             5                             5                             5                             
Peapack Gladstone Provo       0                             2                             2                             2                             
Raritan D 1                   964                           71                            71                            71                            
Raritan D 2                   1213                          117                           117                           117                           
Raritan D 3                   579                           55                            55                            55                            
Raritan D 4                   920                           76                            76                            76                            
Raritan D 5                   723                           44                            44                            44                            
Raritan Mail-In Ballot        0                             17                            17                            17                            
Raritan Provo                 0                             1                             1                             1                             
Rocky Hill D 1                537                           90                            90                            90                            
Rocky Hill Mail-In Ballot     0                             6                             6                             6                             
Rocky Hill Provo              0                             0                             0                             0                             
Somerville D 1                583                           91                            91                            91                            
Somerville D 2                783                           108                           108                           108                           
Somerville D 3                867                           111                           111                           111                           
Somerville D 4                752                           114                           114                           114                           
Somerville D 5                808                           86                            86                            86                            
Somerville D 6                552                           66                            66                            66                            
Somerville D 7                779                           102                           102                           102                           
Somerville D 8                843                           117                           117                           117                           
Somerville D 9                616                           85                            85                            85                            
Somerville Mail-In Ballot     0                             27                            27                            27                            
Somerville Provo              0                             9                             9                             9                             
Warren D 1                    785                           63                            63                            63                            
Warren D 2                    752                           123                           123                           123                           
Warren D 3                    942                           72                            72                            72                            
Warren D 4                    902                           50                            50                            50                            
Warren D 5                    889                           49                            49                            49                            
Warren D 6                    789                           56                            56                            56                            
Warren D 7                    906                           64                            64                            64                            
Warren D 8                    842                           41                            41                            41                            
Warren D 9                    858                           66                            66                            66                            
Warren D 10                   886                           47                            47                            47                            
Warren D 11                   849                           61                            61                            61                            
Warren D 12                   1216                          93                            93                            93                            
Warren D 13                   896                           46                            46                            46                            
Warren Mail-In Ballot         0                             40                            40                            40                            
Warren Provo                  0                             6                             6                             6                             
Watchung D 1                  836                           66                            66                            66                            
Watchung D 2                  946                           72                            72                            72                            
Watchung D 3                  755                           70                            70                            70                            
Watchung D 4                  892                           71                            71                            71                            
Watchung D 5                  950                           91                            91                            91                            
Watchung Mail-In Ballot       0                             17                            17                            17                            
Watchung Provo                0                             2                             2                             2                             
Totals:                       158793                        16308                         16308                         16308                         

                                                                             DEM - House of Representatives 12th District (Vote For 1)
                                                            Bonnie Watson COLEMAN                                       Alexander J. KUCSMA                                         
                              Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Total                         
Bound Brook D 1               905                           92                            92                            5                             5                             97                            
Bound Brook D 2               483                           4                             4                             1                             1                             5                             
Bound Brook D 3               692                           74                            74                            6                             6                             80                            
Bound Brook D 4               919                           91                            91                            12                            12                            103                           
Bound Brook D 5               459                           77                            77                            3                             3                             80                            
Bound Brook D 6               625                           74                            74                            9                             9                             83                            
Bound Brook D 7               489                           65                            65                            5                             5                             70                            
Bound Brook Mail-In Ballot    0                             13                            13                            1                             1                             14                            
Bound Brook Provo             0                             1                             1                             3                             3                             4                             
Franklin W1 D 1               550                           80                            80                            9                             9                             89                            
Franklin W1 D 2               865                           140                           140                           15                            15                            155                           
Franklin W1 D 3               894                           102                           102                           10                            10                            112                           
Franklin W1 D 4               966                           135                           135                           14                            14                            149                           
Franklin W1 D 5               767                           134                           134                           10                            10                            144                           
Franklin W1 D 6               769                           144                           144                           7                             7                             151                           
Franklin W1 D 7               899                           176                           176                           10                            10                            186                           
Franklin W1 D 8               752                           142                           142                           4                             4                             146                           
Franklin W1 D 9               795                           138                           138                           10                            10                            148                           
Franklin W1 D 10              850                           125                           125                           10                            10                            135                           
Franklin W 1 Mail-In Ballot   0                             0                             0                             0                             0                             0                             
Franklin W 1 Provo            0                             0                             0                             0                             0                             0                             
Franklin W2 D 11              1600                          234                           234                           9                             9                             243                           
Franklin W2 D 12              1037                          122                           122                           1                             1                             123                           
Franklin W2 D 13              736                           82                            82                            12                            12                            94                            
Franklin W2 D 14              712                           90                            90                            10                            10                            100                           
Franklin W2 D 15              602                           87                            87                            8                             8                             95                            
Franklin W2 D 16              859                           139                           139                           2                             2                             141                           
Franklin W2 D 17              879                           155                           155                           2                             2                             157                           
Franklin W2 D 18              914                           172                           172                           7                             7                             179                           
Franklin W2 D 19              672                           116                           116                           7                             7                             123                           
Franklin W2 D 20              828                           128                           128                           12                            12                            140                           
Franklin W2 D 21              813                           133                           133                           8                             8                             141                           
Franklin W2 D 22              929                           148                           148                           11                            11                            159                           
Franklin W 2 Mail-In Ballot   0                             0                             0                             0                             0                             0                             
Franklin W 2 Provo            0                             0                             0                             0                             0                             0                             
Franklin W3 D 24              658                           101                           101                           4                             4                             105                           
Franklin W3 D 26              811                           119                           119                           9                             9                             128                           
Franklin W3 D 27              722                           105                           105                           11                            11                            116                           
Franklin W3 D 28              751                           118                           118                           7                             7                             125                           
Franklin W3 D 29              685                           112                           112                           7                             7                             119                           
Franklin W3 D 30              806                           146                           146                           4                             4                             150                           
Franklin W3 D 31              976                           179                           179                           13                            13                            192                           
Franklin W3 D 32              609                           95                            95                            4                             4                             99                            
Franklin W3 D 33              697                           95                            95                            4                             4                             99                            
Franklin W3 D 34              798                           131                           131                           8                             8                             139                           
Franklin W 3 Mail-In Ballot   0                             30                            30                            2                             2                             32                            
Franklin W 3 Provo            0                             1                             1                             0                             0                             1                             
Franklin W4 D 25              714                           159                           159                           16                            16                            175                           
Franklin W4 D 35              682                           152                           152                           6                             6                             158                           
Franklin W4 D 36              744                           171                           171                           3                             3                             174                           
Franklin W4 D 37              667                           141                           141                           5                             5                             146                           
Franklin W4 D 38              777                           139                           139                           15                            15                            154                           
Franklin W4 D 39              990                           202                           202                           8                             8                             210                           
Franklin W4 D 40              944                           222                           222                           7                             7                             229                           
Franklin W4 D 41              586                           106                           106                           8                             8                             114                           
Franklin W4 D 42              939                           216                           216                           7                             7                             223                           
Franklin W4 D 43              715                           134                           134                           4                             4                             138                           
Franklin W 4 Mail-In Ballot   0                             0                             0                             0                             0                             0                             
Franklin W 4 Provo            0                             0                             0                             0                             0                             0                             
Franklin W5 D 23              826                           101                           101                           18                            18                            119                           
Franklin W5 D 44              862                           122                           122                           17                            17                            139                           
Franklin W5 D 45              909                           116                           116                           29                            29                            145                           
Franklin W5 D 46              787                           159                           159                           14                            14                            173                           
Franklin W5 D 47              794                           134                           134                           11                            11                            145                           
Franklin W5 D 48              527                           136                           136                           9                             9                             145                           
Franklin W5 D 49              777                           134                           134                           8                             8                             142                           
Franklin W5 D 50              750                           153                           153                           10                            10                            163                           
Franklin W5 D 51              880                           136                           136                           9                             9                             145                           
Franklin W 5 Mail-In Ballot   0                             0                             0                             0                             0                             0                             
Franklin W 5 Provo            0                             0                             0                             0                             0                             0                             
Franklin Mail-In Ballot       0                             269                           269                           26                            26                            295                           
Franklin Provo                0                             30                            30                            1                             1                             31                            
Manville D 1                  772                           55                            55                            11                            11                            66                            
Manville D 2                  808                           64                            64                            14                            14                            78                            
Manville D 3                  663                           51                            51                            14                            14                            65                            
Manville D 4                  790                           57                            57                            3                             3                             60                            
Manville D 5                  915                           73                            73                            17                            17                            90                            
Manville D 6                  701                           45                            45                            8                             8                             53                            
Manville D 7                  616                           46                            46                            4                             4                             50                            
Manville Mail-In Ballot       0                             12                            12                            0                             0                             12                            
