




District                      Registered Voters             Ballots Cast                  Voter Turnout                 
South Harrison District 1     836                           250                           250                           153                           153                           165                           165                           177                           177                           255                           255                           3                             3                             1003                          
South Harrison District 2     801                           283                           283                           161                           161                           169                           169                           241                           241                           256                           256                           5                             5                             1115                          
South Harrison District 3     724                           287                           287                           133                           133                           139                           139                           156                           156                           228                           228                           2                             2                             945                           
South Harrison Mail-In Ballot 0                             136                           136                           71                            71                            68                            68                            98                            98                            111                           111                           2                             2                             486                           
South Harrison Provisional    0                             5                             5                             2                             2                             1                             1                             2                             2                             6                             6                             0                             0                             16                            
Totals:                       2361                          961                           961                           520                           520                           542                           542                           674                           674                           856                           856                           12                            12                            3565                          

                                                                                                           Swedes-Wool Member BOE (Vote For 3)
                                                            - ROSELLA MUSUMECI                                          - CRAIG FREDERICK                                           Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Swedesboro District 1         848                           306                           306                           307                           307                           32                            32                            645                           
Swedesboro District 2         823                           296                           296                           280                           280                           45                            45                            621                           
Woolwich District 1           1388                          511                           511                           476                           476                           28                            28                            1015                          
Woolwich District 2           1181                          424                           424                           411                           411                           68                            68                            903                           
Woolwich District 3           665                           278                           278                           234                           234                           26                            26                            538                           
Woolwich District 4           761                           267                           267                           273                           273                           20                            20                            560                           
Woolwich District 5           1266                          472                           472                           449                           449                           44                            44                            965                           
Woolwich District 6           784                           317                           317                           298                           298                           8                             8                             623                           
Woolwich District 7           1156                          372                           372                           316                           316                           32                            32                            720                           
Woolwich District 8           776                           267                           267                           267                           267                           22                            22                            556                           
Swedesboro Mail-In Ballot     0                             66                            66                            60                            60                            18                            18                            144                           
Swedesboro Provisional        0                             4                             4                             4                             4                             0                             0                             8                             
Woolwich Mail-In Ballot       0                             579                           579                           576                           576                           94                            94                            1249                          
Woolwich Provisional          0                             31                            31                            27                            27                            1                             1                             59                            
Totals:                       9648                          4190                          4190                          3978                          3978                          438                           438                           8606                          

                                                                                                                                                                                                                                   Washington Membership BOE (Vote For 3)
                                                            - DANIELLE HALPIN                                           - CHET NAWOYSKI                                             - SUDIPTA BARDHAN                                           - CHRISTINA METZ                                            - DOMINICK A. RUGGIERO, JR.                                 - TIFFANY ORIHEL                                            Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Washington District 1         921                           225                           225                           134                           134                           95                            95                            168                           168                           155                           155                           139                           139                           3                             3                             919                           
Washington District 2         958                           238                           238                           191                           191                           108                           108                           214                           214                           211                           211                           198                           198                           4                             4                             1164                          
Washington District 3         816                           170                           170                           136                           136                           72                            72                            130                           130                           147                           147                           136                           136                           3                             3                             794                           
Washington District 4         1156                          261                           261                           263                           263                           127                           127                           212                           212                           249                           249                           301                           301                           0                             0                             1413                          
Washington District 5         1285                          293                           293                           207                           207                           132                           132                           220                           220                           206                           206                           251                           251                           0                             0                             1309                          
Washington District 6         1451                          319                           319                           196                           196                           148                           148                           255                           255                           237                           237                           246                           246                           2                             2                             1403                          
Washington District 7         1005                          229                           229                           97                            97                            112                           112                           169                           169                           129                           129                           117                           117                           2                             2                             855                           
Washington District 8         906                           198                           198                           164                           164                           84                            84                            194                           194                           212                           212                           176                           176                           2                             2                             1030                          
Washington District 9         986                           226                           226                           204                           204                           122                           122                           197                           197                           193                           193                           165                           165                           9                             9                             1116                          
Washington District 10        689                           148                           148                           141                           141                           82                            82                            137                           137                           131                           131                           190                           190                           3                             3                             832                           
Washington District 11        914                           221                           221                           159                           159                           109                           109                           189                           189                           170                           170                           223                           223                           0                             0                             1071                          
Washington District 12        697                           194                           194                           144                           144                           112                           112                           184                           184                           158                           158                           165                           165                           2                             2                             959                           
Washington District 13        631                           161                           161                           106                           106                           71                            71                            139                           139                           133                           133                           155                           155                           1                             1                             766                           
Washington District 14        691                           131                           131                           107                           107                           74                            74                            153                           153                           139                           139                           168                           168                           0                             0                             772                           
Washington District 15        743                           174                           174                           155                           155                           98                            98                            152                           152                           163                           163                           205                           205                           4                             4                             951                           
Washington District 16        1309                          322                           322                           308                           308                           147                           147                           287                           287                           285                           285                           296                           296                           11                            11                            1656                          
Washington District 17        926                           210                           210                           205                           205                           101                           101                           191                           191                           200                           200                           264                           264                           0                             0                             1171                          
Washington District 18        1024                          253                           253                           179                           179                           114                           114                           198                           198                           225                           225                           189                           189                           4                             4                             1162                          
Washington District 19        824                           177                           177                           135                           135                           86                            86                            141                           141                           151                           151                           158                           158                           1                             1                             849                           
Washington District 20        822                           206                           206                           133                           133                           103                           103                           180                           180                           170                           170                           141                           141                           10                            10                            943                           
Washington District 21        699                           170                           170                           121                           121                           70                            70                            141                           141                           155                           155                           127                           127                           2                             2                             786                           
Washington District 22        1006                          263                           263                           165                           165                           149                           149                           218                           218                           223                           223                           186                           186                           4                             4                             1208                          
Washington District 23        869                           214                           214                           178                           178                           102                           102                           191                           191                           181                           181                           147                           147                           2                             2                             1015                          
Washington District 24        1276                          295                           295                           193                           193                           133                           133                           226                           226                           235                           235                           189                           189                           1                             1                             1272                          
Washington District 25        730                           136                           136                           103                           103                           69                            69                            101                           101                           122                           122                           123                           123                           1                             1                             655                           
Washington District 26        1070                          257                           257                           122                           122                           115                           115                           199                           199                           181                           181                           209                           209                           3                             3                             1086                          
Washington District 27        1022                          230                           230                           127                           127                           120                           120                           179                           179                           164                           164                           206                           206                           2                             2                             1028                          
Washington District 28        893                           218                           218                           163                           163                           102                           102                           182                           182                           162                           162                           238                           238                           5                             5                             1070                          
Washington District 29        759                           181                           181                           125                           125                           102                           102                           151                           151                           127                           127                           195                           195                           5                             5                             886                           
Washington District 30        1106                          303                           303                           193                           193                           155                           155                           222                           222                           250                           250                           255                           255                           2                             2                             1380                          
Washington District 31        964                           251                           251                           184                           184                           147                           147                           203                           203                           198                           198                           231                           231                           1                             1                             1215                          
Washington District 32        920                           210                           210                           154                           154                           106                           106                           174                           174                           197                           197                           213                           213                           5                             5                             1059                          
Washington District 33        1131                          292                           292                           177                           177                           145                           145                           225                           225                           202                           202                           189                           189                           11                            11                            1241                          
Washington District 34        741                           164                           164                           116                           116                           71                            71                            150                           150                           164                           164                           149                           149                           1                             1                             815                           
Washington District 35        785                           179                           179                           135                           135                           79                            79                            151                           151                           155                           155                           163                           163                           3                             3                             865                           
Washington District 36        488                           109                           109                           53                            53                            54                            54                            77                            77                            62                            62                            79                            79                            0                             0                             434                           
Washington District 37        977                           251                           251                           163                           163                           124                           124                           170                           170                           208                           208                           222                           222                           0                             0                             1138                          
Washington District 38        1296                          322                           322                           193                           193                           150                           150                           239                           239                           248                           248                           281                           281                           10                            10                            1443                          
Washington District 39        929                           177                           177                           143                           143                           82                            82                            160                           160                           156                           156                           239                           239                           0                             0                             957                           
Washington Mail-In Ballot     0                             1680                          1680                          1054                          1054                          877                           877                           1486                          1486                          1274                          1274                          1132                          1132                          82                            82                            7585                          
Washington Provisional        0                             130                           130                           77                            77                            59                            59                            108                           108                           94                            94                            99                            99                            4                             4                             571                           
Totals:                       36415                         10388                         10388                         7303                          7303                          5108                          5108                          8663                          8663                          8422                          8422                          8755                          8755                          205                           205                           48844                         

                                                                                                                                         Wenonah Membership BOE (Vote For 3)
                                                            - CHRISTOPHER PERAINO                                       - CHUCK PATRICK                                             - CHERYL DEMO MORRIS                                        Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Wenonah District 1            701                           328                           328                           310                           310                           326                           326                           5                             5                             969                           
Wenonah District 2            645                           304                           304                           288                           288                           299                           299                           2                             2                             893                           
Wenonah District 3            466                           219                           219                           213                           213                           223                           223                           4                             4                             659                           
Wenonah Mail-In Ballot        0                             113                           113                           111                           111                           118                           118                           6                             6                             348                           
Wenonah Provisional           0                             3                             3                             4                             4                             2                             2                             0                             0                             9                             
Totals:                       1812                          967                           967                           926                           926                           968                           968                           17                            17                            2878                          

                                                                                                                                         West Deptford Membership BOE (Vote For 3)
                                                            - STEVEN A. CATANDO                                         - NANCY BARNA                                               - JACQUELYN NAPHYS                                          Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
West Deptford District 1      871                           269                           269                           251                           251                           256                           256                           1                             1                             777                           
West Deptford District 2      573                           206                           206                           209                           209                           199                           199                           2                             2                             616                           
West Deptford District 3      740                           299                           299                           292                           292                           284                           284                           4                             4                             879                           
West Deptford District 4      826                           353                           353                           340                           340                           322                           322                           25                            25                            1040                          
West Deptford District 5      653                           249                           249                           240                           240                           226                           226                           2                             2                             717                           
West Deptford District 6      493                           221                           221                           215                           215                           207                           207                           4                             4                             647                           
West Deptford District 7      1116                          409                           409                           387                           387                           373                           373                           7                             7                             1176                          
West Deptford District 8      908                           380                           380                           377                           377                           362                           362                           2                             2                             1121                          
West Deptford District 9      703                           241                           241                           235                           235                           228                           228                           12                            12                            716                           
West Deptford District 10     649                           248                           248                           232                           232                           222                           222                           9                             9                             711                           
West Deptford District 11     598                           259                           259                           246                           246                           235                           235                           0                             0                             740                           
West Deptford District 12     538                           190                           190                           183                           183                           183                           183                           6                             6                             562                           
West Deptford District 13     1287                          549                           549                           531                           531                           501                           501                           9                             9                             1590                          
West Deptford District 14     1045                          276                           276                           265                           265                           257                           257                           3                             3                             801                           
West Deptford District 15     956                           356                           356                           360                           360                           337                           337                           3                             3                             1056                          
West Deptford District 16     847                           289                           289                           268                           268                           269                           269                           0                             0                             826                           
West Deptford District 17     942                           313                           313                           304                           304                           284                           284                           3                             3                             904                           
West Deptford District 18     959                           276                           276                           266                           266                           254                           254                           3                             3                             799                           
West Deptford District 19     1327                          475                           475                           475                           475                           441                           441                           6                             6                             1397                          
West Deptford Mail-In Ballot  0                             1098                          1098                          1071                          1071                          1071                          1071                          72                            72                            3312                          
West Deptford Provisional     0                             58                            58                            58                            58                            53                            53                            4                             4                             173                           
Totals:                       16031                         7014                          7014                          6805                          6805                          6564                          6564                          177                           177                           20560                         

                                                                                                                                         Westville Membership BOE (Vote For 3)
                                                            - DONNA M. DOMICO                                           - LYNN LUCAS                                                - ALYSON T. YOUNG                                           Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Westville District 1          851                           317                           317                           277                           277                           281                           281                           10                            10                            885                           
Westville District 2          1091                          428                           428                           403                           403                           390                           390                           7                             7                             1228                          
Westville District 3          816                           329                           329                           293                           293                           289                           289                           3                             3                             914                           
Westville Mail-In Ballot      0                             92                            92                            89                            89                            85                            85                            3                             3                             269                           
Westville Provisional         0                             12                            12                            10                            10                            10                            10                            0                             0                             32                            
Totals:                       2758                          1178                          1178                          1072                          1072                          1055                          1055                          23                            23                            3328                          

                                                                                                                                                                                                     Woodbury Membership BOE (Vote For 3)
                                                            - DAVID E. PIPOLO                                           - LIZ MCILVAINE                                             - MELISSA CATANDO                                           - WALT SPICER                                               - KATHLEEN L. MANGERI                                       Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
